COURSE,E16_GRADE_12,E16_GRADE_10,E16_GRADE_7,E16_GRADE_4,E16_GRADE_02,E16_GRADE_00,E16_GRADE_MINUS_3,E16_PASSED,E16_FAILED,E16_ABSENT
01001,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01002,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01003,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01004,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01005,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01006,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01007,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01008,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01009,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01015,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01016,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01017,38,73,78,30,7,12,1,No data,No data,17
01018,12,8,13,4,4,2,0,No data,No data,8
01019,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01020,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01025,6,14,12,6,5,4,1,No data,No data,6
01034,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01035,30,56,97,91,49,47,31,No data,No data,39
01036,8,12,8,11,5,0,0,No data,No data,2
01037,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01125,31,17,5,1,1,0,0,No data,No data,1
01227,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01233,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01234,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01235,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01236,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01237,20,33,24,12,2,1,3,No data,No data,3
01238,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01246,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01257,9,7,4,0,0,0,0,No data,No data,No data
01325,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01330,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01400,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01405,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01409,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01410,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
