COURSE,F17_GRADE_12,F17_GRADE_10,F17_GRADE_7,F17_GRADE_4,F17_GRADE_02,F17_GRADE_00,F17_GRADE_MINUS_3,F17_PASSED,F17_FAILED,F17_ABSENT
01001,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01002,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01003,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01004,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01005,93,226,304,64,2,0,0,0,262,14
01006,4,18,10,1,0,0,0,0,7,1
01007,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01008,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01009,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01015,10,30,15,6,0,0,0,0,16,5
01016,0,1,11,6,0,0,0,0,52,7
01017,0,0,1,0,3,3,0,No data,No data,7
01018,0,1,1,0,1,0,1,No data,No data,No data
01019,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01020,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01025,0,0,1,2,1,0,0,No data,No data,2
01034,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01035,23,42,50,44,21,61,11,No data,No data,43
01036,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01037,11,12,39,34,14,36,6,No data,No data,12
01125,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01227,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01233,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01234,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01235,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01236,5,2,0,0,0,0,1,No data,No data,2
01237,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01238,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01246,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01257,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01325,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01330,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01400,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01405,0,5,3,0,0,0,0,No data,No data,No data
01409,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01410,14,11,15,8,6,8,2,No data,No data,21
01415,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
